defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
PLANP:0000277	abnormal anterior pole	PLANA:0007524	anterior pole
PLANP:0000279	abnormal oviduct epithelium	PLANA:0004532	oviduct epithelium
PLANP:0000280	abnormal testis	PLANA:0000208	testis
PLANP:0000281	abnormal Category 5 cell	PLANA:0000022	Category 5 cell
PLANP:0000283	abnormal stem cell	PLANA:0000121	stem cell
PLANP:0000285	abnormal digestive system	PLANA:0000049	digestive system
PLANP:0000287	abnormal viscid gland cell	PLANA:0007540	viscid gland cell
PLANP:0000288	abnormal germ cell	PLANA:0000227	germ cell
PLANP:0000289	abnormal embryo	PLANA:0000116	embryo
PLANP:0000290	abnormal anterior commissure	PLANA:0000460	anterior commissure
PLANP:0000291	abnormal acidophilic gland cell	PLANA:0000487	acidophilic gland cell
PLANP:0000293	abnormal tuba lumen	PLANA:0004534	tuba lumen
PLANP:0000294	abnormal Stage 5	PLANA:0000005	Stage 5
PLANP:0000295	abnormal embryonic gut cavity	PLANA:0000068	embryonic gut cavity
PLANP:0000296	abnormal pharynx pouch epithelial surface	PLANA:0000414	pharynx pouch epithelial surface
PLANP:0000297	abnormal embryonic gut cell surface	PLANA:0004514	embryonic gut cell surface
PLANP:0000298	abnormal vacuole	PLANA:0000515	vacuole
PLANP:0000299	abnormal proximal-distal axis	PLANA:0007523	proximal-distal axis
PLANP:0000301	abnormal sperm duct lumen	PLANA:0004531	sperm duct lumen
PLANP:0000302	abnormal neuron associated cell (sensu Nematoda and Protostomia)	PLANA:0000561	neuron associated cell (sensu Nematoda and Protostomia)
PLANP:0000304	abnormal progenitor cell	PLANA:0000120	progenitor cell
PLANP:0000305	abnormal biotype	PLANA:0000021	biotype
PLANP:0000306	abnormal organelle	PLANA:0000525	organelle
PLANP:0000307	abnormal embryonic subdivision	PLANA:0000423	embryonic subdivision
PLANP:0000309	abnormal neurosecretory neuron	PLANA:0000556	neurosecretory neuron
PLANP:0000310	abnormal epithelial cell	PLANA:0000100	epithelial cell
PLANP:0000311	abnormal serotonergic neuron	PLANA:0000481	serotonergic neuron
PLANP:0000312	abnormal muscle progenitor	PLANA:0000019	muscle progenitor
PLANP:0000313	abnormal endoplasmic reticulum	PLANA:0007513	endoplasmic reticulum
PLANP:0000314	abnormal distal tubule	PLANA:0000053	distal tubule
PLANP:0000315	abnormal copulatory bursa	PLANA:0000233	copulatory bursa
PLANP:0000317	abnormal esophagus	PLANA:0000062	esophagus
PLANP:0000318	abnormal secondary gut branch	PLANA:0000089	secondary gut branch
PLANP:0000320	abnormal Stage 2	PLANA:0000002	Stage 2
PLANP:0000322	abnormal protonephridial progenitor	PLANA:0000011	protonephridial progenitor
PLANP:0000323	abnormal ventral midline	PLANA:0000038	ventral midline
PLANP:0000327	abnormal primtive gut cell surface	PLANA:0004513	primtive gut cell surface
PLANP:0000329	abnormal egg capsule	PLANA:0000216	egg capsule
PLANP:0000330	abnormal multipolar neuron	PLANA:0000560	multipolar neuron
PLANP:0000331	abnormal secretory cell	PLANA:0000105	secretory cell
PLANP:0000332	abnormal pharynx outer longitudinal muscle cell	PLANA:0000476	pharynx outer longitudinal muscle cell
PLANP:0000333	abnormal penis papilla	PLANA:0000206	penis papilla
PLANP:0000334	abnormal TrpA+ neural progenitor cell	PLANA:0007546	TrpA+ neural progenitor cell
PLANP:0000335	abnormal interneuron	PLANA:0000550	interneuron
PLANP:0000336	abnormal subepidermal nerve plexus	PLANA:0000466	subepidermal nerve plexus
PLANP:0000338	abnormal longitudinal muscle progenitor cell	PLANA:0000134	longitudinal muscle progenitor cell
PLANP:0000339	abnormal microvillus	PLANA:0000504	microvillus
PLANP:0000340	abnormal adult hermaphrodite	PLANA:0004503	adult hermaphrodite
PLANP:0000341	abnormal mitochondrion	PLANA:0007512	mitochondrion
PLANP:0000342	abnormal enteric musculature	PLANA:0000061	enteric musculature
PLANP:0000345	abnormal dorsal midline	PLANA:0000032	dorsal midline
PLANP:0000346	abnormal ganglion	PLANA:0007529	ganglion
PLANP:0000348	abnormal pharynx lumen epithelial surface	PLANA:0000412	pharynx lumen epithelial surface
PLANP:0000349	abnormal sperm	PLANA:0000090	sperm
PLANP:0000350	abnormal serotonergic neural progenitor cell	PLANA:0007550	serotonergic neural progenitor cell
PLANP:0000352	abnormal nerve plexus	PLANA:0000492	nerve plexus
PLANP:0000353	abnormal reproductive system	PLANA:0000126	reproductive system
PLANP:0000354	abnormal afferent neuron	PLANA:0000545	afferent neuron
PLANP:0000355	abnormal neuropil	PLANA:0000470	neuropil
PLANP:0000356	abnormal intestinal phagocyte	PLANA:0000070	intestinal phagocyte
PLANP:0000357	abnormal anterior primary gut branch	PLANA:0000042	anterior primary gut branch
PLANP:0000358	abnormal intracellular part	PLANA:0000509	intracellular part
PLANP:0000360	abnormal digestive tract lumen	PLANA:0000405	digestive tract lumen
PLANP:0000363	abnormal cell	PLANA:0000499	cell
PLANP:0000364	abnormal axon tract	PLANA:0000538	axon tract
PLANP:0000365	abnormal peripheral nervous system	PLANA:0000080	peripheral nervous system
PLANP:0000366	abnormal cell projection	PLANA:0000501	cell projection
PLANP:0000367	abnormal commissural neuron	PLANA:0000547	commissural neuron
PLANP:0000370	abnormal pax3/7+ neural progenitor cell	PLANA:0007555	pax3/7+ neural progenitor cell
PLANP:0000372	abnormal tissue	PLANA:0000113	tissue
PLANP:0000373	abnormal intracellular organelle	PLANA:0000518	intracellular organelle
PLANP:0000374	abnormal secretory vesicle	PLANA:0000530	secretory vesicle
PLANP:0000375	abnormal optic cup	PLANA:0000075	optic cup
PLANP:0000376	abnormal pharynx circular muscle cell	PLANA:0007535	pharynx circular muscle cell
PLANP:0000378	abnormal enteric neuron	PLANA:0000566	enteric neuron
PLANP:0000379	abnormal embryonic cell	PLANA:0000123	embryonic cell
PLANP:0000380	abnormal Smed asexual biotype	PLANA:0000024	Smed asexual biotype
PLANP:0000381	abnormal integumental system	PLANA:0004529	integumental system
PLANP:0000383	abnormal cement gland	PLANA:0000224	cement gland
PLANP:0000384	abnormal secretory system	PLANA:0000484	secretory system
PLANP:0000386	abnormal elongate spermatid	PLANA:0000238	elongate spermatid
PLANP:0000387	abnormal lysosome	PLANA:0007518	lysosome
PLANP:0000388	abnormal membrane part	PLANA:0000522	membrane part
PLANP:0000391	abnormal Stage 7	PLANA:0000007	Stage 7
PLANP:0000392	abnormal body wall musculature	PLANA:0000240	body wall musculature
PLANP:0000393	abnormal dorsal-ventral axis	PLANA:0007520	dorsal-ventral axis
PLANP:0000394	abnormal embryonic pharynx lumen epithelial surface	PLANA:0004516	embryonic pharynx lumen epithelial surface
PLANP:0000396	abnormal pharynx inner epithelium	PLANA:0007534	pharynx inner epithelium
PLANP:0000397	abnormal circular muscle cell	PLANA:0000045	circular muscle cell
PLANP:0000398	abnormal intracellular membrane-bounded organelle	PLANA:0000527	intracellular membrane-bounded organelle
PLANP:0000399	abnormal oogonial stem cell	PLANA:0000223	oogonial stem cell
PLANP:0000403	abnormal octopaminergic neuron	PLANA:0000483	octopaminergic neuron
PLANP:0000404	abnormal gonopore	PLANA:0000203	gonopore
PLANP:0000406	abnormal flame bulb	PLANA:0000064	flame bulb
PLANP:0000407	abnormal cholinergic neuron	PLANA:0000463	cholinergic neuron
PLANP:0000409	abnormal visceral musculature	PLANA:0000013	visceral musculature
PLANP:0000410	abnormal multicellular anatomical structure	PLANA:0000427	multicellular anatomical structure
PLANP:0000411	abnormal tertiary gut branch	PLANA:0000093	tertiary gut branch
PLANP:0000412	abnormal lateral nerve	PLANA:0007553	lateral nerve
PLANP:0000413	abnormal pharynx outer circular muscle cell	PLANA:0000473	pharynx outer circular muscle cell
PLANP:0000415	abnormal transverse commissure	PLANA:0007548	transverse commissure
PLANP:0000416	abnormal sensory neuron	PLANA:0000552	sensory neuron
PLANP:0000417	abnormal gastrodermal plexus	PLANA:0000468	gastrodermal plexus
PLANP:0000420	abnormal cell junction	PLANA:0000506	cell junction
PLANP:0000421	abnormal primitive gut cell	PLANA:0000085	primitive gut cell
PLANP:0000425	abnormal ectolecithal embryo	PLANA:0000056	ectolecithal embryo
PLANP:0000427	abnormal epidermis	PLANA:0000034	epidermis
PLANP:0000430	abnormal nu neoblast	PLANA:0007552	nu neoblast
PLANP:0000433	abnormal ovarian somatic gonadal cell	PLANA:0004507	ovarian somatic gonadal cell
PLANP:0000434	abnormal sperm duct epithelial cell	PLANA:0000128	sperm duct epithelial cell
PLANP:0000435	abnormal primitive ectoderm	PLANA:0000029	primitive ectoderm
PLANP:0000436	abnormal pharynx outer epithelium	PLANA:0000472	pharynx outer epithelium
PLANP:0000437	abnormal female germ cell	PLANA:0000229	female germ cell
PLANP:0000438	abnormal collecting duct epithelial cell	PLANA:0000118	collecting duct epithelial cell
PLANP:0000439	abnormal mouth	PLANA:0000072	mouth
PLANP:0000442	abnormal circular muscle progenitor cell	PLANA:0000130	circular muscle progenitor cell
PLANP:0000443	abnormal embryonic pharynx epithelial cell	PLANA:0004521	embryonic pharynx epithelial cell
PLANP:0000444	abnormal pharynx pouch cavity	PLANA:0000407	pharynx pouch cavity
PLANP:0000445	abnormal spermatocyte	PLANA:0000221	spermatocyte
PLANP:0000448	abnormal pharynx progenitor cell	PLANA:0000110	pharynx progenitor cell
PLANP:0000450	abnormal excitatory motor neuron	PLANA:0000549	excitatory motor neuron
PLANP:0000452	abnormal neuron	PLANA:0000099	neuron
PLANP:0000455	abnormal diagonal muscle cell	PLANA:0000048	diagonal muscle cell
PLANP:0000456	abnormal nerve	PLANA:0000541	nerve
PLANP:0000458	abnormal sympathetic neuron	PLANA:0000558	sympathetic neuron
PLANP:0000461	abnormal secretory pore	PLANA:0000486	secretory pore
PLANP:0000462	abnormal blastema	PLANA:0000495	blastema
PLANP:0000463	abnormal embryonic pharynx radial muscle cell	PLANA:0004520	embryonic pharynx radial muscle cell
PLANP:0000464	abnormal organelle membrane	PLANA:0000524	organelle membrane
PLANP:0000465	abnormal pharynx outer epithelium surface	PLANA:0000413	pharynx outer epithelium surface
PLANP:0000542	abnormal whole organism	PLANA:0000136	whole organism
PLANP:0000543	abnormal regeneration	PLANA:0000137	regeneration
PLANP:0000544	abnormal Hyman vesicle	PLANA:0000138	Hyman vesicle
PLANP:0000545	abnormal anterior region	PLANA:0000140	anterior region
PLANP:0000546	abnormal dorsal region	PLANA:0000141	dorsal region
PLANP:0000547	abnormal posterior region	PLANA:0000142	posterior region
PLANP:0000548	abnormal ventral region	PLANA:0000143	ventral region
PLANP:0000549	abnormal heterochromatin	PLANA:0000535	heterochromatin
PLANP:0000550	abnormal adenal rhabdite	PLANA:0002000	adenal rhabdite
PLANP:0000551	abnormal adherens junction	PLANA:0002001	adherens junction
PLANP:0000552	abnormal adhesive papilla	PLANA:0002002	adhesive papilla
PLANP:0000553	abnormal amputation	PLANA:0002003	amputation
PLANP:0000554	abnormal anterior gut branch	PLANA:0002004	anterior gut branch
PLANP:0000555	abnormal anterior tip	PLANA:0002005	anterior tip
PLANP:0000556	abnormal antrum	PLANA:0002006	antrum
PLANP:0000557	abnormal auricle	PLANA:0002007	auricle
PLANP:0000558	abnormal axon	PLANA:0002008	axon
PLANP:0000559	abnormal axoneme	PLANA:0002009	axoneme
PLANP:0000560	abnormal basal body	PLANA:0002010	basal body
PLANP:0000561	abnormal brain visual center	PLANA:0002011	brain visual center
PLANP:0000562	abnormal bulbar cavity	PLANA:0002012	bulbar cavity
PLANP:0000563	abnormal Category 1 cell	PLANA:0002013	Category 1 cell
PLANP:0000564	abnormal cell body	PLANA:0002014	cell body
PLANP:0000565	abnormal cephalic ganglia lobe	PLANA:0002015	cephalic ganglia lobe
PLANP:0000566	abnormal cephalic ganglia neuron	PLANA:0002016	cephalic ganglia neuron
PLANP:0000567	abnormal chemical amputation	PLANA:0002017	chemical amputation
PLANP:0000568	abnormal chemical pharynx amputation	PLANA:0002018	chemical pharynx amputation
PLANP:0000569	abnormal chemosensory neuron	PLANA:0002019	chemosensory neuron
PLANP:0000570	abnormal chromatoid body	PLANA:0002020	chromatoid body
PLANP:0000571	abnormal chromosome	PLANA:0002021	chromosome
PLANP:0000572	abnormal chromosome arm	PLANA:0002022	chromosome arm
PLANP:0000573	abnormal ciliated epithelium	PLANA:0002023	ciliated epithelium
PLANP:0000574	abnormal cilium	PLANA:0002024	cilium
PLANP:0000575	abnormal commissure	PLANA:0002025	commissure
PLANP:0000576	abnormal cut	PLANA:0002026	cut
PLANP:0000577	abnormal dendrite	PLANA:0002027	dendrite
PLANP:0000578	abnormal dorsal-ventral muscle cell	PLANA:0002028	dorsal-ventral muscle cell
PLANP:0000579	abnormal early female germ cell	PLANA:0002029	early female germ cell
PLANP:0000580	abnormal early male germ cell	PLANA:0002030	early male germ cell
PLANP:0000581	abnormal embryonic gut	PLANA:0002031	embryonic gut
PLANP:0000582	abnormal epidermal cell	PLANA:0002032	epidermal cell
PLANP:0000583	abnormal epidermal rhabdite	PLANA:0002033	epidermal rhabdite
PLANP:0000584	abnormal ER membrane	PLANA:0002034	ER membrane
PLANP:0000585	abnormal eumelanin	PLANA:0002035	eumelanin
PLANP:0000586	abnormal excretory cell	PLANA:0002036	excretory cell
PLANP:0000587	abnormal extracellular matrix	PLANA:0002037	extracellular matrix
PLANP:0000588	abnormal extracellular space	PLANA:0002038	extracellular space
PLANP:0000589	abnormal fission	PLANA:0002039	fission
PLANP:0000590	abnormal flagellum	PLANA:0002040	flagellum
PLANP:0000591	abnormal gap junction	PLANA:0002041	gap junction
PLANP:0000592	abnormal genital atrium	PLANA:0002042	genital atrium
